name,observer,sell_rank,price,features,rating,nb_evaluation
DAS Audio Vantec-15,            ,                227            ,    888,"1x Haut-parleur de 15"" et 1x tweeter à compression de  1"",Réponse en fréquence : 60 Hz - 20 kHz,Dispersion (HxV) : 90° x 50°,SPL Max : 135 dB,Puissance nominale : 500 Watt RMS / 2000 Watt crête,Impédance : 8 Ohm,Connexions : Speaker Twist,Montage sur pied 35 mm (2 angles d'inclinaison disponibles),Dimensions (HxLxP) : 720 x 445 x 380 mm,Poids : 23,5 kg,Couleur : noir",,
FBT Ventis 108,            ,                226            ,    449,"Haut-parleur 8"", tweeter 1"",Puissance continue : 125 Watt,Puissance d'amplification recommandée : 250 Watt,Impédance nominale : 8 Ohm,Réponse en fréquence : 70 Hz - 18 kHz (-6 dB),Sensibilité : 95 dB (1 W/1m),SPL Max : 126 dB,Angle de dispersion typique : 80° x 50° (H x V, orientable),Fréquence de coupure : 1,8 kHz,Filtre passe-haut recommandé : 50 Hz - 12-24 dB/oct,2x Speaker Twist,4 points de montage avec filet M5,Dimensions : 274 x 500 x 300 mm (L x H x P),Poids : 12,3 kg,Couleur : noir",,
Bose AMM108,            ,                225            ,    1.390,"Enceinte de retour de scène, de rappel et de façade,1x haut-parleur 8"" et tweeter 1,7"",Puissance : 150 Watt RMS, 2400 Watt crête,Impédance : 8 Ohm,Angle de dispersion : 110° x 60°,Inclinaison du moniteur : 35°,Réponse en fréquence : 75 Hz - 20 kHz (-10 dB),SPL Max : 116 dB,2x fiches Neutrik NL4 Speakon avec sortie parallèle,Montage sur pied de 35 mm,4x points de montage aérien M8 et 6x M10,Dimensions : 318 x 318 x 268 mm (L x H x P),Poids : 13,04 kg,Couleur : noir,Accessoires disponibles en option, AMM flying adapter, article n° ,, support mural AMM108 article n°  ",,
DAS Audio Altea-415,            ,                224            ,    389,"Tweeter à compression de 1"",Réponse en fréquence : 63 Hz - 20 kHz,Diagramme de dispersion (HxV) : 90° x 60°,SPL max. : 128 dB,Puissance nominale : 350 Watt RMS / 1400 Watt crête,Impédance : 8 Ohm,Connexions : Speaker Twist,Montage sur pied 35 mm possible,Dimensions (HxLxP) : 710 x 440 x 380 mm,Poids : 16,5 kg,Couleur : noir",,
EV ZLX 15 B-Stock,            ,                222            ,    285,"Réponse en fréquence: 44 Hz - 20 kHz,Puissance: 250 Watt continu - 1000 Watt crête,Impédance: 8 Ohm,Sensibilité: 96 dB,SPL max: 126 dB,2x Speaker Twist (entrée et sortie),Dispersion: 90° x 60°,Dimensions: 685 x 423 x 383 mm,Poids: 16,6 kg,Housse disponible en option, article n°: ,, flightcase: ",,
EV ELX 112 Trolley Bundle,            ,                220            ,    369,,4.5,2
FBT J8 J-Series B-Stock,            ,                221            ,    171,"Enceinte 2 voies avec haut-parleur 8"" et tweeter 1"",Puissance: 160 Watt RMS,Impédance: 8 Ohm,Réponse en fréquence: 65 - 20.000 Hz,Dispersion: 90 ° x 60 °,Entrée et sortie Speaker Twist NL4,Points de montage aérien 2x M5,Œillet: 25 mm,Dimensions: 255 x 415 x 245 mm,Poids: 6,6 kg,Boîtier en plastique noir",,
Sirus Reflect 8 Black B-Stock,            ,                219            ,    93,"Montage Bass Reflect,Technologie OBE (Optimal Bass Enhancement Radiator) fournit des basses profondes et claires grâce à une membrane passive,Résiste aux intempéries selon norme IPX66,Haut-parleur d'aigus 1,1"" et haut-parleur de basses de 8"",Impédance : 8 Ohm,Transformateur pour 100V/70V (6.25/12.5/25/50 W),Puissance : 50 Watt RMS/ 80 Watt crête,SPL Max : 87 dB,Réponse en fréquence : 80 Hz - 20 kHz,Connexion : borners à vis enfichable,Matériau du boîtier : plastique ABS,Support de montage inclus,Dimensions (HxLxP) : 381 x 250 x 250 mm,Poids : 5 kg,Couleur : noir",,
LD Systems SAT 262 G2 B-Stock,            ,                218            ,    244,"2x haut-parleurs 6,5"" et tweeter 1"",Dispersion: 80 ° x 60 °,Réponse en fréquence: 65 - 19 000 Hz,SPL Max: 116 dB,Puissance: 180 W / 360 W sous 8 Ohm,Connexions: borniers et Speker Twist,Enceinte MDF de 12 mm,Montage aérien: 4x M8, 4x M6 et 2x M10,Dimensions: 200 x 630 x 205 mm,Poids: 9,8 kg,Couleur: noir,Supports mural et de traverses disponibles en option",,
the box pro Achat 804 MKII B-Stock,            ,                217            ,    354,"Equipped with: 8 x 4"" Bass & 1"" BMS line driver,Line source housing (column),Power rating: 300 W RMS/1200 W Peak,Impedance: 4 Ohm,Max. sound pressure level (SPL): 124 dB,Frequency range: 60 Hz - 20 kHz,Coverage pattern: 150° x 30°,Connections: 2 x NL4 and binding posts,Colour: Textured black,Dimensions (W x H x D): 164 x 1138 x 233 mm,Weight: 16.7 kg,Developed in Germamy,Corresponding wall mount available under Article Nr , (not included),Corresponding stand flange mount available under Article Nr , (not included),Corresponding protective cover available under Article Nr , (not included),Corresponding bag available under Article Nr , (not included)",4,2
